,GroupSize,Maximal Similarity,Maximal Similarity(Refined) 
0,2,0.0,0.0
1,3,0.792268662491,0.792268662491
2,4,0.9375,0.9375
3,5,0.9375,0.9375
4,6,0.9375,0.9375
5,7,0.9375,0.9375
6,8,0.9375,0.9375
7,9,0.782503003085,0.782503003085
8,10,0.782503003085,0.782503003085
9,11,0.9375,0.9375
10,12,0.798849128461,0.798849128461
11,13,0.757615843692,0.757615843692
12,14,1.0,1.0
13,15,0.893330296717,0.893330296717
14,16,0.715278533997,0.715278533997
15,17,0.829337650064,0.829337650064
16,18,0.662939604422,0.662939604422
17,19,0.649939657251,0.649939657251
18,20,0.694797953227,0.694797953227
19,21,0.691485421551,0.691485421551
20,22,0.650310743322,0.650310743322
21,23,0.750615703638,0.750615703638
22,24,0.761355805823,0.761355805823
23,25,0.893330296717,0.893330296717
24,26,0.892678054941,0.892678054941
25,27,0.744631590082,0.744631590082
26,28,0.710674445904,0.710674445904
27,29,0.699105750714,0.699105750714
28,30,0.719677403561,0.719677403561
29,31,0.546747381425,0.546747381425
30,32,0.807646801176,0.807646801176
31,33,0.890609643534,0.890609643534
32,34,0.678956103956,0.678956103956
33,35,0.69578134284,0.69578134284
34,36,0.873926935486,0.873926935486
35,37,0.662956146952,0.662956146952
36,38,0.737732463784,0.737732463784
37,39,0.761116483934,0.761116483934
38,40,0.717803420935,0.717803420935
39,41,0.473970850198,0.473970850198
40,42,0.762626262626,0.762626262626
41,43,0.648535625805,0.648535625805
42,44,0.806630398299,0.806630398299
43,45,0.552434526208,0.552434526208
44,46,0.615472606841,0.615472606841
45,47,0.717074655124,0.717074655124
46,48,0.533933791808,0.533933791808
47,49,0.726170954869,0.726170954869
48,50,0.651934281366,0.651934281366
49,51,0.813112145543,0.782791251498
50,52,0.651934281366,0.651934281366
51,53,0.56327849528,0.56327849528
52,54,0.944444444444,0.944444444444
53,55,0.546747381425,0.546747381425
54,56,0.690058479532,0.690058479532
55,57,0.613536706342,0.613536706342
56,58,0.656438862744,0.656438862744
57,59,0.766447368421,0.766447368421
58,60,0.468142560709,0.468142560709
59,61,0.692237104436,0.9375
60,62,0.707063428778,0.707063428778
61,63,0.707683738549,0.707683738549
62,64,0.581155420908,0.581155420908
63,65,0.579349856709,0.719883025365
64,66,0.763723357982,0.763723357982
65,67,0.789577774647,0.789577774647
66,68,0.828719129326,0.828719129326
67,69,0.596153846154,0.596153846154
68,70,0.5,0.5
69,71,0.57647191129,0.57647191129
70,72,0.781149962926,0.781149962926
71,73,0.414312361919,0.414312361919
72,74,0.61174822243,0.61174822243
73,75,0.522579616741,0.522579616741
74,76,0.509128735385,0.509128735385
75,77,0.614331611759,0.614331611759
76,78,0.472581594426,0.472581594426
77,79,0.623081902829,0.623081902829
78,80,0.413114900152,0.413114900152
79,81,0.732470978388,0.732470978388
80,82,0.488248079416,0.488248079416
81,83,0.777777777778,1.0
82,84,0.357507633027,0.357507633027
83,85,0.35959660554,0.35959660554
84,86,0.33156984415,0.629833031017
85,87,0.608612472663,1.0
86,88,0.360970903352,0.400997143439
87,89,0.362519238164,0.362519238164
88,90,0.501193962216,0.501193962216
89,91,0.758270442718,0.881657805688
90,92,0.334283437691,0.334283437691
91,93,0.621781891509,0.621781891509
92,94,0.304198353237,0.325509447243
93,95,0.340129989944,0.398258546671
94,96,0.538682734454,0.538682734454
95,97,0.485906878742,0.485906878742
96,98,0.86945491491,1.0
97,99,0.260789941493,0.301042969568
98,100,0.439393939394,0.439393939394
99,101,0.675839878774,0.675839878774
100,102,0.436471568896,0.485171429505
101,103,0.521897261945,0.521897261945
102,104,0.682540129046,0.682540129046
103,105,0.341682628975,0.341682628975
104,106,0.5,0.5
105,107,0.518723795314,0.518723795314
106,108,0.356941713455,0.51547628612
107,109,0.610902801107,0.724485268459
108,110,0.383678182179,0.383678182179
109,111,0.444785774178,0.444785774178
110,112,0.386527814227,0.386527814227
111,113,0.354627318361,0.354627318361
112,114,0.423327683027,0.769502531375
113,115,0.31361229162,0.31361229162
114,116,0.412219590629,0.569773165461
115,117,0.254848097363,0.303110138563
116,118,0.363798222949,0.448666729289
117,119,0.311749108528,0.311749108528
118,120,0.406519332058,0.861866086637
119,121,0.598090866964,0.598090866964
120,122,0.671122545245,0.671122545245
121,123,0.749580374599,0.749580374599
122,124,0.465347689305,0.804132019521
123,125,0.275486990627,0.275486990627
124,126,0.485906878742,0.485906878742
125,127,0.384999555753,0.384999555753
126,128,0.28287666346,0.420917056206
127,129,0.594535049751,0.706390205995
128,130,0.368794162945,0.445063368313
129,131,0.242659645953,0.394409176224
130,132,0.268390810928,0.409781362853
131,133,0.261800090707,0.261800090707
132,134,0.5,0.963586324973
133,135,0.318821839358,0.381434208463
134,136,0.427561205546,0.427561205546
135,137,0.343029752494,0.343029752494
136,138,0.236657173469,0.327402984836
137,139,0.640705294136,0.797696232551
138,140,0.463114131665,0.463114131665
139,141,0.310059899344,0.337442269551
140,142,0.744041070577,0.744041070577
141,143,0.354040019509,0.430111975196
142,144,0.665073496034,0.665073496034
