,GroupSize,Maximal Similarity,Maximal Similarity(Refined) 
0,2,0.0,0.0
1,3,0.9375,0.9375
2,4,0.9375,0.9375
3,5,1.0,1.0
4,6,0.9375,0.9375
5,7,0.9375,0.9375
6,8,0.650310743322,0.650310743322
7,9,0.834072460797,0.834072460797
8,10,0.829337650064,0.829337650064
9,11,0.782503003085,0.782503003085
10,12,0.834072460797,0.834072460797
11,13,0.792268662491,0.792268662491
12,14,0.892678054941,0.892678054941
13,15,0.873926935486,0.873926935486
14,16,0.775400236499,0.775400236499
15,17,0.782503003085,0.782503003085
16,18,0.865949128025,0.865949128025
17,19,0.722222222222,0.722222222222
18,20,0.650310743322,0.650310743322
19,21,0.716871405018,0.716871405018
20,22,0.893330296717,0.893330296717
21,23,0.683003628162,0.683003628162
22,24,0.829337650064,0.829337650064
23,25,0.610341187913,0.610341187913
24,26,0.888888888889,0.888888888889
25,27,0.824759526419,0.824759526419
26,28,0.914941331443,0.914941331443
27,29,0.556852402366,0.556852402366
28,30,0.892678054941,0.892678054941
29,31,1.0,1.0
30,32,0.649113041588,0.649113041588
31,33,0.888888888889,0.888888888889
32,34,0.767261241912,0.767261241912
33,35,0.661190399318,0.661190399318
34,36,0.598434075665,0.598434075665
35,37,0.708738623169,0.708738623169
36,38,0.681818181818,0.681818181818
37,39,0.667687406011,0.667687406011
38,40,0.888888888889,0.888888888889
39,41,0.807480725747,0.807480725747
40,42,0.730555235398,0.730555235398
41,43,0.555119818981,0.555119818981
42,44,0.747707542011,0.747707542011
43,45,0.944444444444,0.944444444444
44,46,0.519746090302,0.519746090302
45,47,0.702215051652,0.702215051652
46,48,0.699201063249,0.699201063249
47,49,0.773759860657,0.773759860657
48,50,0.559203110076,0.559203110076
49,51,0.583363229454,0.583363229454
50,52,0.873926935486,0.873926935486
51,53,0.641944695085,0.641944695085
52,54,0.808834409117,0.808834409117
53,55,0.447799685771,0.447799685771
54,56,0.902454407014,0.902454407014
55,57,0.609086016072,0.609086016072
56,58,0.552504059498,0.552504059498
57,59,0.732470978388,0.732470978388
58,60,0.542306114774,0.734218529957
59,61,0.77546610899,0.77546610899
60,62,0.776781174235,0.776781174235
61,63,0.662416991189,0.662416991189
62,64,0.475688822885,0.475688822885
